item,CI_LTibX,CI_LTibY,CI_LTibZ,CI_RTibX,CI_RTibY,CI_RTibZ,CI_PelvisX,CI_PelvisY,CI_PelvisZ,CI_ThorX,CI_ThorY,CI_ThorZ
Pt_1,12.48,17.82,7.95,12.48,17.82,7.95,7.14,18.82,17.66,9.61,18.46,7.88
Pt_2,15.72,16.87,8.16,15.72,16.87,8.16,9.02,18.35,14.22,11.25,21.69,11.89
Pt_3,10.62,18.6,8.09,10.62,18.6,8.09,7.9,16.43,13.07,8.46,21.42,9.77
Pt_4,12.41,12.1,9.8,12.41,12.1,9.8,5.96,17.95,11.07,8.91,18.03,7.6
Pt_5,13.6,18.14,8.94,13.6,18.14,8.94,7.56,21.28,15.53,9.18,24.93,12.05
Pt_6,15.25,17.6,11.32,15.25,17.6,11.32,6.12,19.37,16.11,10.6,19.34,9.4
Pt_7,11.36,15.56,8.43,11.36,15.56,8.43,7.11,17.99,15.77,8.86,18.38,12.35
Pt_8,13.58,16.61,9.42,13.58,16.61,9.42,5.2,17.34,13.62,10.62,15.8,7.82
Pt_9,13.41,12.35,14.06,13.41,12.35,14.06,8.57,17.92,15.31,9.9,18.69,10.94
Pt_10,12.27,13.67,8.64,12.27,13.67,8.64,8.17,18.41,12.56,9.01,19.44,8.59
Pt_11,13.12,13.32,8.65,13.12,13.32,8.65,6.55,17.83,14.39,15.34,20.53,11.88
Pt_12,12.43,12.39,10.06,12.43,12.39,10.06,9.45,22.93,17.36,10.64,21.83,11.84
Pt_13,14.39,13.8,11.13,14.39,13.8,11.13,10.54,21.82,16.7,9.57,23.17,11.21
Pt_14,12.76,11.9,9.08,12.76,11.9,9.08,9.61,21.14,18.14,11.02,21.7,12.58
Pt_15,13.05,17.61,7.26,13.05,17.61,7.26,8.3,17.48,15.76,15.47,18.72,11.01
AR,0.37,0.75,0.6,7.77,20.99,14.75,0.5,0.81,0.27,10.01,19.79,11.14
JS,0.37,0.64,0.7,5.47,18.52,15.82,0.45,0.85,0.31,9.43,20.37,10.22
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,10.18
,,,,,,,,,,,,10.48
,,,,,,,,,,,,0.37
